Barcode,"Last, First"
00028A,"CarolinaBlue, Jellyfish"
0006EO,"Blush, Terrapin"
000ADJ,"Sandstorm, TibetanMastiff"
000B2D,"SandyTaupe, LeatherbackSeaTurtle"
000CKC,"LiseranPurple, Crocodile"
000F9J,"DarkOliveGreen, ChineseCrestedDog"
000FJ2,"DarkLiver, EgyptianMau"
000GLA,"Grullo, Axolotl"
000GLD,"Strawberry, Buffalo"
000GUB,"FrenchBistre, Pike"
000H7D,"DeepGreen, PolarBear"
000JQE,"PastelMagenta, WhiteTailedDeer"
000PFE,"SpanishCarmine, Pheasant"
000PFG,"LightMediumOrchid, SnowFox"
000SXL,"CharlestonGreen, Rhinoceros"
000VE7,"BrilliantAzure, ThresherShark"
000X3K,"DarkGunmetal, JackRussel"
0010II,"MyrtleGreen, RockHyrax"
0011ZK,"OceanBlue, HowlerMonkey"
0015FI,"DarkTangerine, Scorpion"
0016KE,"Sienna, Parrot"
0017VS,"UCLABlue, Kookaburra"
001C8T,"SpringBud, PotbelliedPig"
001CK1,"Platinum, AdeliePenguin"
001DO3,"Regalia, Pig"
001E4Y,"GhostWhite, GiantPanda"
001EA9,"Eucalyptus, FurSeal"
001GT8,"PaleBrown, GiantAfricanLandSnail"
001LIA,"ArcticLime, IndianElephant"
001R90,"Fallow, Jaguar"
001UJI,"CornellRed, Lizard"
001UKV,"BlueGreen, GreatDane"
001XEA,"MangoTango, ArcticHare"
0020ZB,"NewYorkPink, Baboon"
0022UV,"Smalt, BassetHound"
0023RU,"PaleTurquoise, StickInsect"
0024I1,"Eggshell, Dodo"
00252O,"LightSalmonPink, Panda"
0025T6,"Blue, SeaDragon"
0027OG,"BeauBlue, CottontopTamarin"
0028RO,"PermanentGeraniumLake, SpottedDolphin"
0029RV,"SonicSilver, Kiwi"
002A78,"KeyLime, Ragdoll"
002CTI,"MetalPink, Gar"
002FOI,"Flax, GlassLizard"
002G7J,"LavenderBlue, ChinstrapPenguin"
002GN6,"PersianRed, KermodeBear"
002KL6,"CornflowerBlue, BeardedDragon"
002MQG,"LemonChiffon, Guppy"
002QTD,"BrilliantAzure, Human"
002S19,"Independence, AustralianShepherd"
002T1J,"BabyPowder, SeaSlug"
002TXF,"Ruddy, Beaver"
002VEE,"TitaniumYellow, SeaLion"
002VWY,"MaximumYellow, CurlyCoatedRetriever"
002X7Z,"LightKhaki, SeaSlug"
002YIS,"NavyPurple, Alligator"
0034J0,"CopperRed, ArcticHare"
00350P,"MajorelleBlue, Mollusk"
0036C4,"AlienArmpit, SiameseFightingFish"
0036TX,"BitterLemon, EasternLowlandGorilla"
0037J6,"AshGrey, Armadillo"
00382G,"FrenchRaspberry, RedPanda"
